place,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""4900540""","""Alpine""",6.99,9058.41,2451.53,4797.56,68,81,74,42,52,48,26,29,26,11.54,10.42,2.17,2,2,27595,24891,24368,0,0,0,16400,14358,14257,12377,10731,10706,4023,3627,3551,0,0,0,0,0,0,2.1,2.1,0.80,0.51,6763,86,7007,87,21,66,1503,2157,2283,592,78,22
"""4900650""","""Alta""",0.19,203.62,59.51,2897.96,80,96,89,54,67,62,26,29,27,11.06,0.23,2.17,2,2,27021,24062,24827,1,0,1,16359,14287,14678,12400,10769,11047,3939,3506,3618,20,12,14,18,11,12,2.1,2.9,1.36,0.02,3343,49,4890,85,197,7,2261,2775,2775,,86,14
"""4900760""","""Altamont""",0.01,6.50,2.30,119.95,50,58,55,23,29,26,27,30,29,11.26,0.22,2.18,2,2,26250,23490,25536,2,1,2,16318,14460,15375,12461,11013,11627,3826,3423,3721,31,24,27,26,21,23,1.1,2.5,0.46,0.02,633,74,725,78,252,7,3385,1167,1256,763,82,18
"""4900870""","""Alton""",0.00,0.34,0.15,1489.97,60,72,57,25,31,23,36,42,34,9.16,0.00,2.60,2,3,25446,22764,26159,2,2,2,17910,16760,18258,14162,13406,14404,3708,3317,3812,41,37,43,35,31,37,0.0,1.3,0.17,0.00,217,88,256,74,2202,1,9028,1025,1025,,94,6
"""4901090""","""Amalga""",0.13,165.64,50.04,2262.38,65,78,60,31,39,29,34,39,30,11.90,0.26,2.37,2,2,28526,25815,26480,0,0,0,17064,15709,16313,12906,11948,12452,4157,3762,3858,2,0,3,2,0,3,0.5,0.2,0.08,0.02,831,91,1032,81,170,4,4402,1316,1411,636,88,12
"""4901310""","""American Fork""",15.91,25965.99,7280.40,6004.89,52,61,56,26,33,30,26,28,25,10.51,18.93,2.12,2,2,25622,22937,22435,2,1,1,15878,13770,13643,12116,10405,10353,3735,3342,3269,28,23,21,25,21,19,4.4,0.7,2.52,1.21,11054,69,17548,91,11,118,1041,1363,1370,1130,72,28
"""4901530""","""Aneth""",0.04,66.56,15.13,7050.77,59,68,45,20,26,16,38,43,29,11.38,0.02,2.20,2,2,27026,24356,24842,3,3,3,15965,14205,15699,11977,10606,12025,3938,3550,3620,50,49,54,42,42,46,1.2,1.6,0.22,0.00,203,60,235,74,238,7,3306,707,725,559,89,11
"""4901750""","""Annabella""",0.01,20.06,6.29,449.73,65,77,56,31,38,26,35,38,30,11.74,0.16,2.24,2,2,26462,23924,26144,1,1,1,16060,14244,16180,12182,10734,12346,3856,3487,3810,22,23,24,19,19,21,0.5,0.5,0.63,0.01,401,94,462,77,232,6,2647,1179,1250,840,83,17
"""4901860""","""Antimony""",0.01,15.85,5.24,6307.78,61,71,49,24,30,19,37,41,30,11.06,0.01,2.22,2,2,24816,22242,25284,2,2,2,15736,14052,16270,12077,10768,12541,3616,3242,3684,43,42,45,37,36,38,0.7,0.5,0.48,0.00,230,66,273,75,832,2,5284,853,968,453,78,22
"""4901905""","""Apple Valley""",0.30,1185.75,174.55,25445.18,57,69,54,27,34,26,30,35,29,12.55,0.09,2.12,2,2,25573,23350,25298,1,2,1,15249,14193,15376,11513,10778,11680,3726,3402,3686,11,13,10,26,30,25,1.8,0.3,0.43,0.01,396,86,456,78,406,3,3756,1153,1234,1065,51,49
