Year,Single Family,All Types
2000,"$142,500 ","$137,500 "
2001,"$149,300 ","$144,000 "
2002,"$152,000 ","$145,950 "
2003,"$151,000 ","$145,500 "
2004,"$155,000 ","$150,000 "
2005,"$172,500 ","$163,000 "
2006,"$208,550 ","$189,900 "
2007,"$235,000 ","$218,000 "
2008,"$235,000 ","$220,000 "
2009,"$219,000 ","$201,500 "
2010,"$209,000 ","$198,450 "
2011,"$180,000 ","$175,000 "
2012,"$196,885 ","$185,000 "
2013,"$240,000 ","$220,000 "
2014,"$255,000 ","$235,000 "
2015,"$275,000 ","$251,000 "
2016,"$296,000 ","$269,000 "
2017,"$324,350 ","$293,500 "
