"","Project Name","Developer","Address","Zip Code","State","Proposed / Completed","Type:  Affordable, Mixed or Market","Total Units","Affordable Units","RDA $","HTF $","Completed Before 2008","Completed After 2008","location","lon","lat"
"1","257 North Apartments","Housing Authority of Salt Lake City/HAME","257 North Redwood Road",84116,"Utah","Completed","Market",22,NA,NA,NA,NA,NA,"257 North Redwood Road, `Salt Lake City`, UT 84116",-111.9396082,40.7750752
"2","4th and 4th","Wright Development Group","380 South 400 East",84111,"Utah","Completed","Market",213,0,NA,NA,NA,NA,"380 South 400 East, `Salt Lake City`, UT 84111",-111.8801115,40.7611249
"3","4th and 4th Apartments","Steve Black","380 E 400 S",NA,"Utah","Proposed","Market",210,NA,NA,NA,NA,NA,"380 E 400 S, `Salt Lake City`, UT NA",-111.8905409,40.7644995
"4","4th West","SALT Development","255 North 400 West",84103,"Utah","Completed","Market",497,0,NA,NA,NA,NA,"255 North 400 West, `Salt Lake City`, UT 84103",-111.903005,40.7747198
"5","4th West Apts","Salt Development","255 North 400 West",84103,"Utah","Proposed","Market",497,0,NA,NA,NA,NA,"255 North 400 West, `Salt Lake City`, UT 84103",-111.903005,40.7747198
"6","616 Lofts","Wasatch Advantage Group","616 South State St.",84111,"Utah","Proposed","Affordable",270,270,NA,NA,NA,NA,"616 South State St., `Salt Lake City`, UT 84111",-111.8891539,40.755773
"7","616 South Holdings","616 South Holdings","90 East 600 South",84111,"Utah","Completed","Affordable",274,274,NA,2e+05,NA,NA,"90 East 600 South, `Salt Lake City`, UT 84111",-111.8889212,40.7558073
"8","640 South Apartments","Housing Authority of Salt Lake City/HAME","640 South 400 East",84111,"Utah","Completed","Affordable",17,17,NA,NA,NA,NA,"640 South 400 East, `Salt Lake City`, UT 84111",-111.880572,40.755629
"9","644 City Station",NA,"644 North Temple",84116,"Utah","Completed","Market",132,0,NA,NA,NA,NA,"644 North Temple, `Salt Lake City`, UT 84116",-111.9092702,40.771429
"10","900 East Multifamily Project","Baron Equities (TD Holt)","35 South 900 East",84102,"Utah","Proposed","Market",39,NA,NA,NA,NA,NA,"35 South 900 East, `Salt Lake City`, UT 84102",-111.8648291,40.7684679
"11","9th and 9th","Arch Nexus (architect)","932 E 900 S",NA,"Utah","Proposed","Market",28,NA,NA,NA,NA,NA,"932 E 900 S, `Salt Lake City`, UT NA",-111.8905409,40.7644995
"12","9th East Lofts & ECO Lofts Apartments","Housing Authority of Salt Lake","444 South 900 East",84102,"Utah","Proposed","Mixed",68,54,NA,NA,NA,NA,"444 South 900 East, `Salt Lake City`, UT 84102",-111.865892,40.7594924
"13","9th Street Village Apartments",NA,"200 West Fayette Ave.",84101,"Utah","Proposed","Market",85,NA,NA,NA,NA,NA,"200 West Fayette Ave., `Salt Lake City`, UT 84101",-111.8968944,40.7479022
"14","Adult Detox Center","VOA","252 West Brooklyn Avenue",84101,"Utah","Completed","Market",56,NA,NA,NA,NA,NA,"252 West Brooklyn Avenue, `Salt Lake City`, UT 84101",-111.8986253,40.7470097
"15","Alinea Lofts/ Central Ninth Lofts","LandForge Inc","877 South 200 West",84101,"Utah","Proposed","Market",23,NA,NA,1e+05,NA,NA,"877 South 200 West, `Salt Lake City`, UT 84101",-111.8963518,40.7502256
"16","Alta Gateway Stations","Wood Partners","505 West 100 South",84101,"Utah","Proposed","Market",264,NA,NA,NA,NA,NA,"505 West 100 South, `Salt Lake City`, UT 84101",-111.9058601,40.7672581
"17","Artspace Bridge Projects","EMG","511 West 200 South",84101,"Utah","Completed","Market",62,NA,NA,NA,NA,NA,"511 West 200 South, `Salt Lake City`, UT 84101",-111.9058591,40.7647363
"18","Artspace City Center","EMG","230 West 500 South",84101,"Utah","Completed","Market",18,NA,NA,NA,NA,NA,"230 West 500 South, `Salt Lake City`, UT 84101",-111.8981102,40.7592036
"19","Artspace Commons","EMG","824 South 400 West",84101,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"824 South 400 West, `Salt Lake City`, UT 84101",-111.9033246,40.7513412
"20","Artspace Rubber Company II","EMG","353 West 200 South",84101,"Utah","Completed","Market",53,NA,NA,NA,NA,NA,"353 West 200 South, `Salt Lake City`, UT 84101",-111.9012868,40.7646365
"21","Ashby Apartments",NA,"358 East 100 South",84111,"Utah","Completed","Affordable",27,27,NA,NA,NA,NA,"358 East 100 South, `Salt Lake City`, UT 84111",-111.8805453,40.7668129
"22","Aspenview Apartments","UNPHC","1230 East Elgin Avenue",84106,"Utah","Completed","Market",16,NA,NA,NA,NA,NA,"1230 East Elgin Avenue, `Salt Lake City`, UT 84106",-111.854836,40.7051051
"23","Ball Park Apartments","Summit Housing Group, Inc.","1380 South West Temple",84115,"Utah","Completed","Affordable",62,62,NA,NA,NA,NA,"1380 South West Temple, `Salt Lake City`, UT 84115",-111.8943086,40.7397495
"24","Ben Albert Apartments","Housing Authority of Salt Lake City--HAME","130 South 500 East",84111,"Utah","Completed","Affordable",68,68,NA,NA,NA,NA,"130 South 500 East, `Salt Lake City`, UT 84111",-111.8772087,40.766314
"25","Bigelow Apartments","Braccken Development, LLC","225 South 400 East",84111,"Utah","Completed","Affordable",45,45,NA,5e+05,NA,NA,"225 South 400 East, `Salt Lake City`, UT 84111",-111.878802,40.764301
"26","Bodhi Salt Lake","Housing Authority of the County of Salt Lake","750 West South Temple",84104,"Utah","Proposed","Mixed",80,60,NA,NA,NA,NA,"750 West South Temple, `Salt Lake City`, UT 84104",-111.912858,40.76997
"27","Bonneville Apartments","JF Capital Partners","252 South 500 East",84102,"Utah","Proposed","Market",151,0,NA,NA,NA,NA,"252 South 500 East, `Salt Lake City`, UT 84102",-111.877843,40.763647
"28","Bookcliffs Lodge","Housing Authority of Salt Lake City",NA,NA,"Utah","Proposed","Market",NA,NA,NA,NA,NA,NA,"NA, `Salt Lake City`, UT NA",-111.8910474,40.7607793
"29","Boulevard Gardens","Housing Authority of Salt Lake City","1800 South West Temple",84115,"Utah","Completed","Market",112,NA,NA,NA,NA,NA,"1800 South West Temple, `Salt Lake City`, UT 84115",-111.894345,40.731238
"30","Breekynn Apartments","Core communities and Investment","435 East 500 South",84111,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"435 East 500 South, `Salt Lake City`, UT 84111",-111.8784091,40.7584703
"31","Briar Arms","Core Communities and Investment","355 South 200 East",84111,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"355 South 200 East, `Salt Lake City`, UT 84111",-111.884872,40.761377
"32","Broadway Place","Vertex Property Management","556 East 300 South",84111,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"556 East 300 South, `Salt Lake City`, UT 84111",-111.8750282,40.7624432
"33","C9 Flats","Sojourn SLC","1075 South 200 West",84101,"Utah","Proposed","Market",97,NA,NA,NA,NA,NA,"1075 South 200 West, `Salt Lake City`, UT 84101",-111.8967592,40.7455295
"34","Caledonian Apartments","Core Communities and Investment","475 East 600 South",84111,"Utah","Completed","Market",NA,NA,NA,750000,NA,NA,"475 East 600 South, `Salt Lake City`, UT 84111",-111.8774479,40.7566195
"35","Calvary Tower","Danville Dev.","516 East 700 South",84102,"Utah","Completed","Market",30,NA,NA,NA,NA,NA,"516 East 700 South, `Salt Lake City`, UT 84102",-111.8762003,40.753812
"36","Cambridge Cove Apartments","Housing Authority of Salt Lake City/HAME","1720 West 1300 North",84116,"Utah","Completed","Affordable",70,70,NA,NA,NA,NA,"1720 West 1300 North, `Salt Lake City`, UT 84116",-111.9400839,40.7979358
"37","Canterbury Apartments","Housing Authority of Salt Lake City/HAME","1841 West Morton Drive",84116,"Utah","Completed","Affordable",78,78,NA,NA,NA,NA,"1841 West Morton Drive, `Salt Lake City`, UT 84116",-111.9431798,40.7984477
"38","Capitol Villa Senior Apartments","Rocky Mountain Community Reinvestment Corp","238 West 600 North",84103,"Utah","Completed","Affordable",108,108,NA,NA,NA,NA,"238 West 600 North, `Salt Lake City`, UT 84103",-111.898164,40.7827249
"39","Cedar Cliff Apartments","Core communities and Investment","250 South 900 East",84102,"Utah","Completed","Market",NA,NA,NA,NA,NA,NA,"250 South 900 East, `Salt Lake City`, UT 84102",-111.8653488,40.7637395
"40","Cedar Crest","Housing Authority of Salt Lake City/HAME","1926 South West Temple",84115,"Utah","Completed","Market",12,NA,NA,NA,NA,NA,"1926 South West Temple, `Salt Lake City`, UT 84115",-111.894391,40.728083
"41","Central City","Housing Authority of Salt Lake City/HAME","771 South 200 East",84111,"Utah","Completed","Market",17,NA,NA,NA,NA,NA,"771 South 200 East, `Salt Lake City`, UT 84111",-111.8848935,40.7526441
"42","Central Ninth Lofts","Soljourn SLC","920 Jefferson St",84101,"Utah","Proposed","Market",97,NA,NA,750000,NA,NA,"920 Jefferson St, `Salt Lake City`, UT 84101",-111.8954041,40.7491219
"43","Citifront","City Front Partners, LLC","641 North Temple",84116,"Utah","Completed","Mixed",161,87,NA,NA,NA,NA,"641 North Temple, `Salt Lake City`, UT 84116",-111.9089809,40.7714289
"44","City Front Apartment","City Front Partners","61 North 600 West",84116,"Utah","Completed","Mixed",155,94,NA,NA,NA,NA,"61 North 600 West, `Salt Lake City`, UT 84116",-111.9082584,40.7707469
