name,y,drilldown
Magna,223450,magna
West Valley City,239183,west valley city
Taylorsville/Kearns,242000,taylorsville/kearns
Taylorsville,252000,taylorsville
South Salt Lake,254900,south salt lake
West Valley,272900,west valley
Midvale,274000,midvale
Taylorsville/Murray,275000,taylorsville/murray
Murray,284000,murray
West Jordan,303210,west jordan
Herriman,365000,herriman
Sandy,371406,sandy
Salt Lake City,388333,salt lake city
Riverton,389000,riverton
Cottonwood,427450,cottonwood
South Jordan,441592,south jordan
Holladay,460030,holladay
Draper,465000,draper
